Source,Library,Version
TC31-Full-Setup.3.1.4020.14,Tc2_BA,3.1.2.0
TC31-Full-Setup.3.1.4020.28,Tc2_BA,3.1.3.0
TC31-Full-Setup.3.1.4020.32.a,Tc2_BA,3.1.3.0
TC31-Full-Setup.3.1.4020.39,Tc2_BA,3.1.3.0
TC31-Full-Setup.3.1.4020.32.a,Tc2_BABasic,3.1.0.0
TC31-Full-Setup.3.1.4020.39,Tc2_BABasic,3.1.0.0
TC31-Full-Setup.3.1.4020.0,Tc2_BACnetRev12,2.4.3.0
TC31-Full-Setup.3.1.4020.10,Tc2_BACnetRev12,2.4.3.0
TC31-Full-Setup.3.1.4020.14,Tc2_BACnetRev12,2.4.3.0
TC31-Full-Setup.3.1.4020.28,Tc2_BACnetRev12,2.4.3.0
TC31-Full-Setup.3.1.4020.32.a,Tc2_BACnetRev12,2.4.3.0
TC31-Full-Setup.3.1.4020.39,Tc2_BACnetRev12,2.4.3.0
TC31-Full-Setup.3.1.4020.0,Tc2_CncBase,3.3.2.0
TC31-Full-Setup.3.1.4020.10,Tc2_CncBase,3.3.2.0
TC31-Full-Setup.3.1.4020.14,Tc2_CncBase,3.3.2.0
TC31-Full-Setup.3.1.4020.0,Tc2_CncBase,3.3.3031.0
TC31-Full-Setup.3.1.4020.10,Tc2_CncBase,3.3.3031.0
TC31-Full-Setup.3.1.4020.14,Tc2_CncBase,3.3.3031.0
TC31-Full-Setup.3.1.4020.28,Tc2_CncBase,3.3.3031.2
TC31-Full-Setup.3.1.4020.32.a,Tc2_CncBase,3.3.3031.2
TC31-Full-Setup.3.1.4020.39,Tc2_CncBase,3.3.3031.2
TC31-Full-Setup.3.1.4020.0,Tc2_CncHli,3.3.2.0
TC31-Full-Setup.3.1.4020.10,Tc2_CncHli,3.3.2.0
TC31-Full-Setup.3.1.4020.14,Tc2_CncHli,3.3.2.0
TC31-Full-Setup.3.1.4020.28,Tc2_CncHli,3.3.3031.10
TC31-Full-Setup.3.1.4020.32.a,Tc2_CncHli,3.3.3031.10
TC31-Full-Setup.3.1.4020.39,Tc2_CncHli,3.3.3031.10
TC31-Full-Setup.3.1.4020.0,Tc2_CncHli,3.3.3031.6
TC31-Full-Setup.3.1.4020.10,Tc2_CncHli,3.3.3031.6
TC31-Full-Setup.3.1.4020.14,Tc2_CncHli,3.3.3031.6
TC31-Full-Setup.3.1.4020.0,Tc2_CncPlcopenP1,3.3.2.0
TC31-Full-Setup.3.1.4020.10,Tc2_CncPlcopenP1,3.3.2.0
TC31-Full-Setup.3.1.4020.14,Tc2_CncPlcopenP1,3.3.2.0
TC31-Full-Setup.3.1.4020.0,Tc2_CncPlcopenP1,3.3.3031.1
TC31-Full-Setup.3.1.4020.10,Tc2_CncPlcopenP1,3.3.3031.1
TC31-Full-Setup.3.1.4020.14,Tc2_CncPlcopenP1,3.3.3031.1
